"Story","Title","Result","Date","Stability","Duration (s)"
"Testing diferents requests","Check if the student application can the accessed by users","SUCCESS","2021-06-08T00:18:28.027-03:00[America/Sao_Paulo]","0.0","1.08"
"Testing diferents requests","Create a new student and verify if the student is added","SUCCESS","2021-06-08T00:18:29.169-03:00[America/Sao_Paulo]","0.0","3.38"
"Students CRUD test","This test will create a new student","SUCCESS","2021-06-08T00:18:08.468-03:00[America/Sao_Paulo]","0.0","10.9"
"First serenity test","This is a skipped test","IGNORED","2021-06-08T00:18:08.657-03:00[America/Sao_Paulo]","0.0","1.13"
"First serenity test","This is atest with error","ERROR","2021-06-08T00:18:10.669-03:00[America/Sao_Paulo]","0.0","0.58"
"First serenity test","This test will get the information of all the students from the Student App","SUCCESS","2021-06-08T00:18:11.273-03:00[America/Sao_Paulo]","0.0","8.62"
"First serenity test","This is a pending test","PENDING","2021-06-08T00:18:19.899-03:00[America/Sao_Paulo]","0.0","0.62"
"Students CRUD test","Verify if the student was added to the application","SUCCESS","2021-06-08T00:18:20.506-03:00[America/Sao_Paulo]","0.0","2.42"
"First serenity test","This is a manual test","PENDING","2021-06-08T00:18:20.523-03:00[America/Sao_Paulo]","0.0","0.0"
"First serenity test","This isa failing","FAILURE","2021-06-08T00:18:21.129-03:00[America/Sao_Paulo]","0.0","0.87"
"First serenity test","File does not exist","COMPROMISED","2021-06-08T00:18:22.014-03:00[America/Sao_Paulo]","0.0","0.54"
"First serenity test","Get all students","SUCCESS","2021-06-08T00:18:22.562-03:00[America/Sao_Paulo]","0.0","0.78"
"Students CRUD test","Update the user information and verify the updated information!","SUCCESS","2021-06-08T00:18:22.936-03:00[America/Sao_Paulo]","0.0","1.35"
"Students CRUD test","Delete the student and verify if the student is deleted!","SUCCESS","2021-06-08T00:18:24.288-03:00[America/Sao_Paulo]","0.0","0.54"
"Students CRUD test","This test will create a new student whith same email","SUCCESS","2021-06-08T00:18:24.842-03:00[America/Sao_Paulo]","0.0","1.28"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2021-06-08T00:18:30.019-03:00[America/Sao_Paulo]","0.0","0.55"
"Tags test","Provide a 405 status code when incorrect HTTP method is used to access a resource","SUCCESS","2021-06-08T00:18:30.576-03:00[America/Sao_Paulo]","0.0","0.66"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2021-06-08T00:18:31.243-03:00[America/Sao_Paulo]","0.0","0.7"
